experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,tafeng,top,50,8,0.03011811023622047,0.07480314960629922,0.03895138107736533,0.03935169354344899,0.030947104077025337,0.10236220472440945,1,2,10
1vR,coop,top,50,5,0.05314965855960827,0.16608162121502631,0.07909070030572664,0.07333933894014129,0.06813831881308761,0.242577543104084,1,2,10
1vR,tafeng,top,50,5,0.03293963254593176,0.07086614173228346,0.04210723659542557,0.042960405350400716,0.032275663968577346,0.10236220472440945,1,2,10
1vR,coop,top,50,14,0.032675536731524096,0.28652969720210614,0.058145242040022346,0.04753291766604531,0.06588300712723655,0.3893895370274775,1,2,10
1vR,tafeng,top,50,14,0.030487098203633635,0.09448818897637795,0.0401234592179474,0.04001115705397917,0.033214472991965005,0.12598425196850394,1,2,10
1vR,coop,top,40,7,0.04518392744293282,0.197827038063293,0.07249056307500233,0.06380479931193271,0.06902936886165702,0.28325069272276504,1,2,10
1vR,tafeng,top,40,7,0.029170506912442395,0.07419354838709677,0.03795186891961085,0.03815192925027381,0.030514807772872285,0.1032258064516129,1,2,10
1vR,coop,top,50,4,0.05905148891609268,0.14744620285836493,0.08264774855828085,0.07988603326169924,0.06638729517263757,0.21828586599017713,1,2,10
1vR,tafeng,top,50,4,0.03412073490813648,0.06692913385826772,0.04278215223097113,0.04425770308123249,0.03187186828919113,0.09448818897637795,1,2,10
1vR,coop,top,30,16,0.030045865106218726,0.30096442150165376,0.05420675916142008,0.04387252144040635,0.06312101881580616,0.40628316486868,1,2,10
1vR,tafeng,top,30,16,0.02412731177791419,0.06325301204819277,0.030402997270467153,0.03118538897473437,0.024118993161339013,0.08433734939759036,1,2,10
1vR,coop,top,50,13,0.03394306317567035,0.27650772112505717,0.05989872790657439,0.049263090403575606,0.06679307052683464,0.3782245099629799,1,2,10
1vR,tafeng,top,50,13,0.03061688967200778,0.09448818897637795,0.04033905726819113,0.040196602831925554,0.0334199954300025,0.12598425196850394,1,2,10
1vR,coop,top,50,6,0.048927498611131576,0.18351499240424182,0.07601499767175789,0.06842390570595168,0.06920378334074298,0.2654385628530553,1,2,10
1vR,tafeng,top,50,6,0.03110236220472441,0.07086614173228346,0.03995125609298837,0.04058860392348118,0.03110177224350453,0.10236220472440945,1,2,10
1vR,coop,top,40,13,0.03364790986564356,0.27378348160031113,0.05937143366412725,0.048833279313906464,0.06619013456487396,0.3747751689271304,1,2,10
1vR,tafeng,top,40,13,0.029436047823144594,0.0935483870967742,0.03893976990751184,0.03866029221978971,0.03259741639897437,0.12258064516129032,1,2,10
1vR,coop,top,50,7,0.04557665605437761,0.1998643087860061,0.07313846567323655,0.06436381520158636,0.06967582939913729,0.285644754502146,1,2,10
1vR,tafeng,top,50,7,0.031102362204724406,0.07480314960629922,0.040263717035370586,0.04067298329648395,0.03179713986800601,0.10236220472440945,1,2,10
1vR,coop,top,50,12,0.035307633473589714,0.2653353195380599,0.06170274681063606,0.051104923201120686,0.06756500641583457,0.365289597498562,1,2,10
1vR,tafeng,top,50,12,0.030112145072774994,0.09055118110236221,0.03946224379295245,0.03946724656210618,0.03246882756128021,0.11811023622047244,1,2,10
1vR,coop,top,50,10,0.038451392415198266,0.2406085455966726,0.06555071518715122,0.05526746725031086,0.0686903058741232,0.33565876609489537,1,2,10
1vR,tafeng,top,50,10,0.03057742782152231,0.09055118110236221,0.04022394927906738,0.04012944980397106,0.033170631283183385,0.11811023622047244,1,2,10
1vR,coop,top,50,19,0.02814053807945373,0.3349950590699252,0.051564885380020846,0.04126354644488594,0.062021513472082034,0.44379876403002905,1,2,10
