dataset,model_name,split_type,pred_length,mean_precision,std_precision,mean_recall,std_recall,mean_f1_score,std_f1_score,mean_f05_score,std_f05_score,mean_f2_score,std_f2_score,mean_hit_score,std_hit_score
tafeng,markov,split_fixed,15,0.07575826621751587,0.1361819750722545,0.1189141331441603,0.21529530149738457,0.07836711061609716,0.12608954340725795,0.08847167287010212,0.1457769163780899,0.05558206571294939,0.0917104165135513,0.3665373005605865,0.4819625245991533
tafeng,markov,split_fixed,16,0.07561093259670232,0.13598067074386216,0.12016974903026825,0.21665854528657752,0.07852043853545485,0.12615496496481657,0.08843300883965065,0.14566445138654774,0.05587613190250927,0.0919041922951875,0.3678309616213885,0.4823190446178671
tafeng,markov,split_fixed,17,0.07553483488724339,0.1355473334731945,0.12139331639631257,0.2173667905355967,0.07873278048287632,0.12596208042001444,0.088476189295692,0.14526881121513965,0.05619157632479629,0.0919023006088953,0.36998706338939197,0.4829049551320337
tafeng,markov,split_fixed,18,0.07550383211672305,0.1353593531805272,0.12293968671184326,0.21941625049456762,0.07891289672163965,0.1259065762298556,0.08852347887755332,0.14507681875262432,0.05649124039421853,0.09202908430961176,0.3717119448037947,0.48336624466273653
tafeng,markov,split_fixed,19,0.07531091774800697,0.13503214381666673,0.12338220438560316,0.21949198945868073,0.07886035002441294,0.12563475527834883,0.0883584949220642,0.14469499716043424,0.05654404556741712,0.09189494292550039,0.3730056058645968,0.4837078849006466
tafeng,markov,split_fixed,20,0.07521446056364893,0.13492361019315488,0.1237153892984495,0.21962003238314304,0.07885276012366056,0.12560907154978843,0.08828545608452233,0.1446201572818511,0.05659307771828179,0.09187581889610388,0.3738680465717982,0.48393358899758177
tafeng,nmf,split_10,2,0.056666666666666664,0.1692528653774546,0.029735042735042735,0.11049384501453824,0.03523809523809523,0.11021085934461539,0.052682983682983686,0.15728648347060772,0.018643966055730755,0.06356247434244493,0.10666666666666667,0.30972312092110527
tafeng,nmf,split_10,3,0.05333333333333334,0.13967043344111385,0.03919295519295519,0.1245873944020176,0.04074801124801125,0.11078273576534645,0.05532179156450257,0.14582841891076373,0.02324124368574348,0.06747911918800026,0.14,0.34814947033030963
tafeng,nmf,split_10,4,0.043333333333333335,0.11122663643769803,0.046526288526288526,0.14765481329862515,0.039328473269649736,0.1022624211356983,0.04867079578863501,0.12412009098560163,0.02481998556998557,0.06935404826945162,0.14666666666666667,0.35495848451201895
tafeng,nmf,split_10,5,0.036000000000000004,0.09573453228141313,0.04719295519295519,0.14857528576032586,0.03585527435527435,0.09324725631649938,0.042222019669163835,0.11000934072764021,0.023790193517008052,0.06529747575580797,0.14666666666666667,0.35495848451201895
tafeng,nmf,split_10,6,0.032222222222222215,0.0812299804205017,0.048304066304066307,0.14854204180758418,0.03383359095897795,0.08439126644798267,0.038652083941941945,0.09620357583123501,0.023247207484467795,0.06121151470648095,0.16,0.3678342200269288
tafeng,nmf,split_10,7,0.027619047619047602,0.0696256975032872,0.048304066304066307,0.14854204180758418,0.030920144126026478,0.0769639290858801,0.03406047242094932,0.08485755293380912,0.02211147173643394,0.057697912271932925,0.16,0.3678342200269288
tafeng,nmf,split_10,8,0.025,0.061442394038928004,0.04997073297073297,0.14939648814080025,0.029604794795399177,0.07168567481064037,0.03156258440481094,0.0766989398723315,0.02193684991479109,0.05529078670203183,0.16666666666666666,0.37392650224713186
tafeng,nmf,split_10,9,0.024444444444444442,0.05738234440429388,0.05285433085433086,0.1529584996358458,0.02980869867732163,0.06993342765972542,0.031227321414244617,0.07296784648196751,0.022552329227984374,0.05508705121107048,0.18,0.38547451799936866
tafeng,nmf,split_10,10,0.023333333333333338,0.05361641873476668,0.053700891700891706,0.15306512210848638,0.028862447096085535,0.06609570499911402,0.029942446577288184,0.06838640884149583,0.022207246602187043,0.05289842575098071,0.18666666666666668,0.3909490546234406
tafeng,nmf,split_10,11,0.023030303030303026,0.051798500556481296,0.061404595404595405,0.17178805584395823,0.02930684429149252,0.0646830751926905,0.02984287724115699,0.06626885734373378,0.023353011238206153,0.053368408085159365,0.19333333333333333,0.39623507812467224
tafeng,nmf,split_10,12,0.022222222222222213,0.04891311852974869,0.06436755836755836,0.17358070085339644,0.02914987556411256,0.06269257469787097,0.029142507674139437,0.0633070555822274,0.02375640739978975,0.05242880564427784,0.2,0.40134003725439027
tafeng,nmf,split_10,13,0.021538461538461534,0.0455475580081603,0.06615327265327264,0.17360142815941723,0.028875677303151295,0.05976362264047137,0.028497680729735915,0.0595428104380314,0.023869203225521093,0.05067023813181912,0.21333333333333335,0.4110335094141321
tafeng,nmf,split_10,14,0.01999999999999999,0.04229416100757747,0.06615327265327264,0.17360142815941723,0.02740651291595463,0.05672847164677952,0.02667890202928985,0.055776391549001575,0.023091357195983292,0.04887048362035398,0.21333333333333335,0.4110335094141321
tafeng,nmf,split_10,15,0.018666666666666654,0.03947455027373898,0.06615327265327264,0.17360142815941723,0.026084001061824683,0.05400024939370379,0.025079173459538567,0.052460713043866083,0.022369644503702157,0.04721846735077288,0.21333333333333335,0.4110335094141321
tafeng,nmf,split_10,16,0.017916666666666668,0.03716056294620344,0.06726438376438376,0.17370851201257018,0.02549276469393282,0.051772412818242124,0.02423247816815938,0.04973825101751921,0.022197593557113673,0.04586570086323752,0.22,0.41563406724226704
tafeng,nmf,split_10,17,0.018039215686274507,0.036027817131846725,0.07637549487549487,0.19077812975078232,0.026303470471961646,0.051423757105603186,0.024603918493366097,0.048650352683565996,0.02353828979949785,0.04663652035955092,0.23333333333333334,0.42436951523243643
tafeng,nmf,split_10,18,0.017777777777777767,0.034252792451177655,0.07723660598660599,0.1905759031667609,0.025990164945194058,0.0493403509457763,0.02426562051879446,0.046401516783239116,0.023369615040156683,0.04518282877965113,0.24666666666666667,0.43251514566593546
