model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score,avg_training_time_seconds,avg_pred_time_seconds
top,20,2,3,0.12821632035035402,0.3933471395288636,0.07767436050092545,0.7602036413840711,0.5922367054103029,6.927690050910346e-06
top,20,2,4,0.1584100073411354,0.38540857709897314,0.10148647317088812,0.8410561739580636,0.5922367054103029,6.0570368452843205e-06
top,20,2,5,0.18313657757711369,0.37645180774872733,0.12361105893553444,0.8893778583139184,0.5922367054103029,5.754853740616101e-06
top,20,2,6,0.2052776842021314,0.369689648229643,0.145617401947392,0.9237207696954008,0.5922367054103029,5.569678143066701e-06
top,20,2,7,0.22345633062506667,0.3617798487071073,0.16617335325709218,0.9449477953231513,0.5922367054103029,5.461213219432219e-06
top,20,2,8,0.23852962467507274,0.35394914717979686,0.18541731655559598,0.9584951246872034,0.5922367054103029,5.400897402709466e-06
top,20,2,9,0.25173013711383035,0.34690343333237456,0.20416949071061063,0.9672965743377341,0.5922367054103029,5.3447234446457844e-06
top,20,2,10,0.26277117587946286,0.33979420139787725,0.2219489357780417,0.9750625593234964,0.5922367054103029,5.294158253516265e-06
top,20,2,11,0.2727164271940089,0.3334755136140069,0.239565516688863,0.9806713262576581,0.5922367054103029,5.311157131762879e-06
top,20,2,12,0.2809374195429135,0.32713263883986116,0.25621964150441806,0.9849857623608594,0.5922367054103029,5.298127534731212e-06
top,20,2,13,0.28777118504022264,0.3209546982197771,0.2719945999382433,0.9883510225213564,0.5922367054103029,5.281387522650789e-06
top,20,2,14,0.29424106571195885,0.3156735439611442,0.2879027845547015,0.9914574165156614,0.5922367054103029,5.255932349641901e-06
top,20,2,15,0.2986305751427483,0.30951622729386125,0.3019899703831957,0.9925791699024937,0.5922367054103029,5.243765639830873e-06
top,20,2,16,0.3035361553734322,0.30477106665302367,0.3170137931527407,0.9940460781775822,0.5922367054103029,5.238070584174649e-06
top,20,2,17,0.30775039021369777,0.30016921296824145,0.33161451703157346,0.9944775217879023,0.5922367054103029,5.232030373630166e-06
top,20,2,18,0.31135404171323766,0.29571744808188594,0.3458164820637114,0.9951678315644146,0.5922367054103029,5.227284493916645e-06
top,20,2,19,0.3142680420067568,0.2913752582961494,0.35934696635477975,0.9963758736733109,0.5922367054103029,5.220553973595651e-06
top,20,2,20,0.3165474125691611,0.2869795291337404,0.3723510443431165,0.9968936060056951,0.5922367054103029,5.238933471395289e-06
top,30,0,2,0.09043714925583399,0.3867424242424242,0.05181568335113951,0.6265151515151515,0.10869463484848486,1.3726515151515152e-05
top,30,0,3,0.1273858478816719,0.3853535353535354,0.07758255339490219,0.7659090909090909,0.10869463484848486,9.190151515151515e-06
top,30,0,4,0.15485075142440452,0.37386363636363634,0.09971164278496009,0.8393939393939394,0.10869463484848486,7.871212121212122e-06
top,30,0,5,0.18034865032157857,0.36833333333333335,0.12245206992032928,0.8924242424242425,0.10869463484848486,7.389393939393938e-06
top,30,0,6,0.20453607409776292,0.36578282828282827,0.14610566091635468,0.9227272727272727,0.10869463484848486,7.170454545454545e-06
top,30,0,7,0.2224344397965127,0.35811688311688306,0.16657332569800387,0.9477272727272728,0.10869463484848486,7.059848484848485e-06
